# libawdl coverage floor -- the WORST-classified TLV of each tag.
#
# Regenerate with:  awdl coverage captures/*.pcap --update-baseline docs/coverage-floor.txt
# Check with:       awdl coverage captures/*.pcap --baseline docs/coverage-floor.txt
#
# NOT the headline percentage: that is byte-weighted over the corpus and moves
# whenever a capture is added. This is a pure function of the parser, so a drop
# means the parser got worse OR a capture arrived carrying a shape we cannot
# classify. Both should fail; neither should be averaged away.
#
# tag  floor       corpus%   name
2     24/24         100.0   Service Response
4     71/73          97.3   Synchronization Parameters
5     21/21         100.0   Election Parameters
6     2/17           15.9   Service Parameters
7     6/8            80.9   HT Capabilities
12    43/47          92.8   Data Path State
16    40/40         100.0   Arpa
17    14/14         100.0   IEEE 802.11 Container
18    41/41         100.0   Channel Sequence
21    2/2           100.0   Version
24    36/40          90.0   Election Parameters v2
32    2/13           15.4   unrecognised
33    2/14           21.4   unrecognised
35    0/2             0.0   unrecognised
